id,Unidade federativa,Abreviação,Capital,Área (km²),População (2014),Densidade (2005),PIB (2015),( total) (2015),PIB per capita (R$) (2015),IDH (2010),Alfabetização (2016),Mortalidade infantil (2016),Expectativa de vida (2016),cor
Acre,Acre,AC,Rio Branco,164122.2,795145,4.30,13.6,0.2,16953.46,0.663,86.9,17.0,73.9,#77678e
Alagoas,Alagoas,AL,Maceió,27767.7,3327551,108.61,46.3,0.8,13877.53,0.631,80.6,19.5,71.6,#4f5f69
Amapa,Amapá,AP,Macapá,142814.6,756500,4.16,13.8,0.2,18079.54,0.708,95,23.2,73.9,#817198
Amazonia,Amazonas,AM,Manaus,1570745.7,3893763,2.05,86.5,1.4,21978.95,0.674,93.1,18.2,71.9,#694d6a
Bahia,Bahia,BA,Salvador,564692.7,15150143,24.46,245.0,4.1,16115.89,0.660,87,17.3,73.5,#586974
Ceara,Ceará,CE,Fortaleza,148825.6,8867448,54.40,130.6,2.2,14669.14,0.682,84.8,14.4,73.8,#353f46
DistritoFederal,Distrito Federal,DF,Brasília,5822.1,2867869,400.73,215.6,3.6,73971.05,0.824,97.4,10.5,78.1,#47180b
EspiritoSanto,Espírito Santo,ES,Vitória,46077.5,3894899,73.97,120.3,30627.45,0.740,93.8,8.8,78.2,,#6aa054
Goias,Goiás,GO,Goiânia,340086.7,6551322,16.52,173.6,2.9,26265.32,0.735,93.5,14.9,74.2,#c2421e
Maranhao,Maranhão,MA,São Luís,331983.3,6861924,18.38,78.4,1.3,11366.23,0.639,83.3,21.3,70.6,#2c353a
MatoGrosso,Mato Grosso,MT,Cuiabá,903357.9,3236578,3.10,107.4,1.8,32894.96,0.725,93.5,16.9,74.2,#823016
MatoGrossoDoSul,Mato Grosso do Sul,MS,Campo Grande,357125.0,2630098,6.34,83.0,1.4,31337.22,0.729,93.7,14.0,75.5,#61210f
MinasGerais,Minas Gerais,MG,Belo Horizonte,586528.3,20777672,32.79,519.3,8.7,24884.94,0.731,93.8,10.9,77.2,#74ab5f
Para,Pará,PA,Belém,1247689.5,8101180,5.58,130.8,2.2,16009.98,0.646,90.7,16.6,72.1,#65597a
Paraiba,Paraíba,PB,João Pessoa,56439.8,3950359,63.71,56.1,0.9,14133.32,0.658,83.7,16.1,73.2,#435058
Parana,Paraná,PR,Curitiba,199314.9,11112062,51.48,376.9,6.3,33768.62,0.749,95.5,9.3,77.1,#d38b5d
Pernambuco,Pernambuco,PE,Recife,98311.6,9297861,85.58,156.9,2.6,16795.34,0.673,87.2,12.7,73.9,#697e8c
Piaui,Piauí,PI,Teresina,251529.2,3198185,11.95,39.1,0.7,12218.51,0.646,82.8,19.1,71.1,#3d4a51
RioDeJaneiro,Rio de Janeiro,RJ,Rio de Janeiro,43696.1,16497395,352.05,659.1,39826.95,0.761,97.3,11.5,76.2,,#8bb979
RioGrandeDoNorte,Rio Grande do Norte,RN,Natal,52796.8,3419550,56.88,57.2,16631.86,0.684,85.3,14.7,75.7,,#607480
RioGrandeDoSul,Rio Grande do Sul,RS,Porto Alegre,281748.5,11228091,38.49,381.9,6.4,33960.36,0.746,96.8,9.6,77.8,#cf804f
Rondonia,Rondônia,RO,Porto Velho,237576.2,1755015,6.46,36.5,0.6,20677.95,0.690,93.3,20.0,71.3,#6d5e82
Roraima,Roraima,RR,Boa Vista,224299.0,500826,1.74,10.3,0.2,20476.71,0.707,93.4,17.2,71.5,#a195b2
SantaCatarina,Santa Catarina,SC,Florianópolis,95346.2,6734568,61.53,249.0,4.2,36525.28,0.774,97.2,9.2,79.1,#b06130
SaoPaulo,São Paulo,SP,São Paulo,248209.4,44169350,162.93,1939.8,32.4,43694.68,0.783,97.2,9.9,78.1,#97c087
Sergipe,Sergipe,SE,Aracaju,21910.3,2227294,89.81,38.5,0.6,17189.28,0.665,85.3,16.2,72.7,#738996
Tocantins,Tocantins,TO,Palmas,277620.9,1502759,4.70,28.9,0.5,19094.16,0.699,89.6,15.8,73.4,#9f3619